Dates,Financials,Consumer Staples,Energy,Industrials,Healthcare,Consumer Discretionary,Utilities,Information Technology,Materials,S&P500,Communication Services
4/9/2001,300,19200,11800,11800,27800,18000,56400,56400,400,397800,5800
4/10/2001,1500,28800,8400,8400,27200,10400,247600,247600,8500,786300,11900
4/11/2001,9200,98700,4000,4000,116800,28400,198800,198800,5800,110900,11200
4/12/2001,11000,38700,4000,4000,30100,25600,128000,128000,900,692800,10500
4/13/2001,11000,38700,4000,4000,30100,25600,128000,128000,900,692800,10500
4/16/2001,3800,23400,7400,7400,28700,37600,110800,110800,400,590400,11700
4/17/2001,800,54900,2000,2000,15300,9200,70000,70000,2300,1401300,1900
4/18/2001,5400,845100,6000,6000,74200,23600,560800,560800,4100,244500,9300
4/19/2001,900,649200,2600,2600,32400,28800,281600,281600,2500,2022100,17300
4/20/2001,4100,104100,6800,6800,36600,74000,421600,421600,9200,1065800,22900
4/23/2001,2300,101100,8400,8400,31300,20400,237600,237600,4300,56400,8100
4/24/2001,7100,135000,3200,3200,44400,34400,136000,136000,32600,132700,10800
4/25/2001,5800,403500,2600,2600,34500,248400,132800,132800,2200,152200,9700
4/26/2001,5100,183300,7200,7200,32300,23600,80400,80400,10800,60700,23200
4/27/2001,3900,90000,3000,3000,24000,18000,87600,87600,5600,852200,5800
4/30/2001,5000,53700,9800,9800,31200,31600,184800,184800,5000,414500,10500
5/1/2001,5300,120300,10000,10000,56300,40800,71200,71200,1700,61600,13600
5/2/2001,4300,130800,6000,6000,29200,35200,87600,87600,1200,696300,9100
5/3/2001,1300,291300,4200,4200,14700,13600,176800,176800,15400,951900,16800
5/4/2001,2600,125100,2400,2400,28100,12400,52800,52800,1200,1281900,1800
5/7/2001,6100,57300,3200,3200,26300,13200,49200,49200,2800,97700,9800
5/8/2001,2100,34800,5200,5200,30400,28400,73600,73600,1500,124100,7900
5/9/2001,3200,170100,8000,8000,17800,16800,65600,65600,3100,1092400,8100
5/10/2001,2900,44700,2600,2600,25900,30400,46000,46000,7900,51200,6800
5/11/2001,800,21600,4600,4600,19600,4400,94800,94800,9400,94600,8400
5/14/2001,1200,408000,5600,5600,13000,22400,42000,42000,1800,111700,3000
5/15/2001,2900,384300,6400,6400,25300,18800,74800,74800,3000,56100,6900
5/16/2001,900,115200,70600,70600,29000,63200,108000,108000,47800,87100,4100
5/17/2001,1900,132000,12600,12600,30700,44400,143600,143600,13800,114000,12300
5/18/2001,1300,352800,4400,4400,19700,16800,89200,89200,3900,71400,2700
5/21/2001,2900,152400,2400,2400,37800,21200,121600,121600,14100,1092200,5500
5/22/2001,1600,195000,12200,12200,92700,62400,309600,309600,14800,556500,15900
5/23/2001,200,111000,2200,2200,37400,41600,62400,62400,2400,874900,4500
5/24/2001,1300,191100,1800,1800,40500,54000,81600,81600,14000,1064100,8700
5/25/2001,200,55500,5600,5600,21800,20400,76800,76800,7900,505400,2300
5/28/2001,200,55500,5600,5600,21800,20400,76800,76800,7900,505400,2300
5/29/2001,12700,76200,2600,2600,18900,19600,94800,94800,2100,182400,15100
5/30/2001,2300,63000,4200,4200,40400,24400,227600,227600,4300,265400,27800
5/31/2001,3000,83700,1800,1800,11900,18000,95600,95600,1200,1876800,4700
6/1/2001,3000,25500,200,200,18100,16000,56400,56400,4800,432400,6100
6/4/2001,800,146100,1200,1200,26500,14800,53600,53600,3500,214800,69700
6/5/2001,900,65100,6400,6400,27300,16000,40400,40400,4100,150700,8800
6/6/2001,2900,215400,7800,7800,15500,39200,106400,106400,1400,121800,9300
6/7/2001,2500,151800,2000,2000,22700,8000,52000,52000,3200,383600,4500
6/8/2001,2700,36000,3800,3800,19900,4000,80800,80800,1000,59400,5000
6/11/2001,2300,106800,3800,3800,14100,20000,41200,41200,3700,448800,10000
6/12/2001,400,20400,1000,1000,13600,27200,39600,39600,1800,413500,10200
6/13/2001,400,72600,4800,4800,26100,5600,43200,43200,800,102100,8700
6/14/2001,8800,429900,13800,13800,27500,36800,602800,602800,12300,396600,4700
6/15/2001,800,19200,3600,3600,19700,29200,65200,65200,400,429300,16900
6/18/2001,2500,54600,3600,3600,10700,8800,86000,86000,2300,3350000,12300
6/19/2001,14900,31500,6800,6800,12300,17600,71200,71200,2100,76400,16300
6/20/2001,500,284100,1200,1200,54600,15600,91600,91600,1400,203800,3900
6/21/2001,1100,144300,2600,2600,25600,19600,69600,69600,1100,64400,7000
6/22/2001,4200,231900,4800,4800,56000,10000,84400,84400,1800,326400,3300
6/25/2001,900,74400,200,200,45500,8400,67200,67200,8200,217800,13300
6/26/2001,1500,19500,2200,2200,10600,37200,43200,43200,200,248600,9500
6/27/2001,2700,251700,4000,4000,21700,13600,138800,138800,1400,142500,4900
6/28/2001,3400,334800,600,600,27900,99200,82800,82800,1400,68000,6000
6/29/2001,6900,16500,1000,1000,35700,20000,90000,90000,1000,601600,3000
7/2/2001,2700,193800,11400,11400,20100,17600,82400,82400,7200,44000,8400
7/3/2001,800,130800,1200,1200,19000,9600,56800,56800,1600,34200,6100
7/4/2001,800,130800,1200,1200,19000,9600,56800,56800,1600,34200,6100
7/5/2001,4300,91500,1800,1800,15600,100800,57600,57600,100,1682400,2500
7/6/2001,1500,45900,4600,4600,37400,11600,294000,294000,1300,1753500,6400
7/9/2001,700,81000,2800,2800,13900,23200,136400,136400,900,1011900,3900
7/10/2001,2700,264900,4800,4800,21000,16000,80800,80800,1400,437000,10200
7/11/2001,3600,167700,4600,4600,24000,42000,289600,289600,1500,108800,9900
7/12/2001,900,173400,5000,5000,41100,61600,147200,147200,800,315100,43700
7/13/2001,800,84000,4800,4800,22000,11200,160400,160400,500,101800,28700
7/16/2001,6700,113400,6000,6000,23200,23200,44800,44800,4000,960100,6400
7/17/2001,2200,122700,800,800,10200,37600,538400,538400,4400,39400,5500
7/18/2001,3200,296700,800,800,22400,15200,62400,62400,400,76400,10700
7/19/2001,900,19200,800,800,11200,2400,65600,65600,1500,61600,11200
7/20/2001,300,51900,600,600,10400,6800,849600,849600,3400,459100,6400
7/23/2001,1200,39300,3400,3400,7500,16800,85600,85600,500,60600,16600
7/24/2001,1300,66000,3200,3200,35300,22000,70000,70000,4200,823000,9100
7/25/2001,1900,57900,3000,3000,9000,34000,103600,103600,1700,599800,2900
7/26/2001,200,19200,31600,31600,8700,18800,86400,86400,12600,155800,11600
7/27/2001,1000,25200,4200,4200,19900,7600,72000,72000,9600,61600,6800
7/30/2001,600,48000,1400,1400,20400,2800,33200,33200,3100,43800,3100
7/31/2001,400,23700,1800,1800,78900,12000,90800,90800,3600,142800,61700
8/1/2001,1000,17700,2800,2800,41000,16400,55200,55200,900,41600,24500
8/2/2001,1400,11100,5400,5400,64200,13200,85200,85200,300,107700,25000
8/3/2001,1000,20400,1800,1800,23300,16400,58000,58000,300,91000,7800
8/6/2001,400,92100,8000,8000,6500,41200,53200,53200,200,57900,11600
8/7/2001,10600,8700,1600,1600,13800,16400,45200,45200,800,54000,5800
8/8/2001,1300,16800,1200,1200,31600,10000,86400,86400,23500,55500,6400
8/9/2001,900,14700,4600,4600,36500,7600,38000,38000,1300,83800,1800
8/10/2001,200,15900,400,400,21000,15600,35600,35600,2500,60900,12500
8/13/2001,2600,10200,3800,3800,20700,16400,57600,57600,1400,248000,3500
8/14/2001,900,46200,3000,3000,27600,6800,81600,81600,200,84700,16000
8/15/2001,8200,21300,3800,3800,25500,28000,63600,63600,5000,65500,5200
8/16/2001,3100,63000,1800,1800,8000,8800,48000,48000,1000,63800,9700
8/17/2001,10400,9300,800,800,26100,6800,82000,82000,3400,79800,2300
8/20/2001,10900,36600,8400,8400,23000,16400,81600,81600,3100,39500,10100
8/21/2001,24800,28800,6800,6800,11000,14400,69600,69600,4600,320800,3200
8/22/2001,5300,26400,2400,2400,15800,64800,60800,60800,3700,195500,7500
8/23/2001,79600,70200,2400,2400,97800,33600,66000,66000,700,219700,4300
8/24/2001,16300,1167000,2000,2000,19200,60800,45600,45600,4700,177400,4500
8/27/2001,2100,42900,8200,8200,10600,11200,92400,92400,7900,55600,19600
8/28/2001,3500,52500,5400,5400,16300,14000,28400,28400,3500,150000,39200
8/29/2001,28700,56700,72000,72000,48300,13600,236400,236400,1700,91700,30500
8/30/2001,16800,29400,2600,2600,16300,25200,70800,70800,6200,154500,17500
8/31/2001,6400,21600,3400,3400,8700,10400,68000,68000,1000,129500,5200
9/3/2001,6400,21600,3400,3400,8700,10400,68000,68000,1000,129500,5200
9/4/2001,14200,8400,15600,15600,11500,20400,38000,38000,3000,1937500,12200
9/5/2001,17700,19200,3200,3200,23900,71600,97600,97600,4200,226700,16400
9/6/2001,18900,14100,8600,8600,8300,16800,287200,287200,1800,60500,123800
9/7/2001,10300,31200,10600,10600,26600,62000,154400,154400,2500,136300,57300
9/10/2001,5400,16800,9800,9800,19100,26400,68400,68400,1600,138900,11800
9/11/2001,5400,16800,9800,9800,19100,26400,68400,68400,1600,138900,11800
9/12/2001,5400,16800,9800,9800,19100,26400,68400,68400,1600,138900,11800
9/13/2001,5400,16800,9800,9800,19100,26400,68400,68400,1600,138900,11800
9/14/2001,5400,16800,9800,9800,19100,26400,68400,68400,1600,138900,11800
9/17/2001,15200,537600,43400,43400,56700,273200,301600,301600,4800,401100,18800
9/18/2001,6700,598200,13600,13600,40400,60400,166400,166400,18400,221700,25100
9/19/2001,4700,658200,13000,13000,67100,14400,341200,341200,154900,330400,113200
9/20/2001,18100,52500,9200,9200,22200,83600,372000,372000,6500,850100,156800
9/21/2001,41000,41100,19000,19000,65000,56400,250400,250400,3800,206200,24300
9/24/2001,13900,28800,22600,22600,62500,32400,167200,167200,7200,224200,11200
9/25/2001,14500,47400,23000,23000,29000,8800,200800,200800,7200,124100,9600
9/26/2001,7800,46800,10200,10200,26300,18400,253200,253200,900,340000,21000
9/27/2001,15800,69600,12600,12600,50400,55200,97600,97600,6700,344100,5500
9/28/2001,18000,26700,6800,6800,39500,67200,174400,174400,7900,327900,58900
10/1/2001,8400,41100,2000,2000,34100,44800,87600,87600,34200,77400,7900
10/2/2001,16500,13200,12000,12000,37300,26000,96000,96000,10700,283700,57400
10/3/2001,18400,46500,10600,10600,53200,51200,110000,110000,107000,145100,339600
10/4/2001,28900,33300,46200,46200,29400,36400,232400,232400,600,303700,7800
10/5/2001,20700,21300,8200,8200,25200,25600,75200,75200,2400,105400,5900
10/8/2001,25500,15300,9600,9600,17800,57600,134800,134800,3100,154900,9700
10/9/2001,9600,21000,1200,1200,21600,13600,323600,323600,4400,110800,3800
10/10/2001,7300,25200,3000,3000,21900,38000,176400,176400,3800,182400,6500
10/11/2001,22700,26400,24400,24400,37700,38400,216000,216000,11700,160200,17300
10/12/2001,5500,21300,8400,8400,66800,36000,294400,294400,5000,177600,9800
10/15/2001,23800,15900,2600,2600,43900,17600,224000,224000,900,115200,19400
10/16/2001,6100,11100,6400,6400,54400,54000,54000,54000,5000,170500,15000
10/17/2001,33200,20100,9400,9400,58900,126800,132800,132800,3800,164100,10900
10/18/2001,21800,119400,13400,13400,12500,24800,109200,109200,900,201600,76400
10/19/2001,6200,33600,4200,4200,15200,116800,68400,68400,1900,159100,10100
10/22/2001,5900,21600,6600,6600,27200,42400,177200,177200,3200,116700,10900
10/23/2001,4900,19800,2600,2600,47200,6400,248800,248800,4900,157700,21700
10/24/2001,6200,11400,26600,26600,20200,13200,141600,141600,4100,156000,12400
10/25/2001,15900,26100,3400,3400,53100,5600,143200,143200,1100,245100,17500
10/26/2001,5000,20100,8400,8400,35200,44400,116000,116000,4300,160500,8400
10/29/2001,5700,38100,14000,14000,35900,15600,108400,108400,7300,101000,9300
10/30/2001,4300,28500,7000,7000,22800,12800,110800,110800,3600,119600,9500
10/31/2001,6400,17400,4600,4600,27000,18000,76800,76800,2200,1253300,8400
11/1/2001,16800,32700,11400,11400,26300,52800,252400,252400,3000,251000,30500
11/2/2001,9500,28500,2000,2000,18900,8800,153200,153200,6000,94600,8200
11/5/2001,21900,29700,4800,4800,31800,9600,176400,176400,5400,97600,62300
11/6/2001,19000,36000,5400,5400,14800,51200,86800,86800,14100,82800,4500
11/7/2001,17200,6900,6000,6000,24600,13600,241200,241200,9700,316800,15400
11/8/2001,9200,49800,12200,12200,51900,46400,247600,247600,12500,52500,11700
11/9/2001,18600,35700,11000,11000,32000,46800,100800,100800,61900,115600,7000
11/12/2001,11700,25500,11800,11800,26400,18000,225200,225200,8800,153400,7100
11/13/2001,14700,39900,24000,24000,47800,243200,317200,317200,5100,179400,54200
11/14/2001,11600,38400,14600,14600,44100,55200,315600,315600,7900,161000,22900
11/15/2001,17900,634800,25800,25800,53900,109200,133600,133600,17000,180200,27600
11/16/2001,4000,181800,11000,11000,25900,67200,68000,68000,2900,97100,19400
11/19/2001,4600,44100,9200,9200,54800,26000,147200,147200,11000,161000,18500
